question,choices,answer_idx,source
Things people eat come from,"[""mountains"", ""canyons"", ""cities"", ""farms""]",3,openbookqa
"Unlike energy, what happens to matter in ecosystems?","[""it is filtered"", ""it does not exist"", ""it is recycled"", ""it is destroyed""]",2,sciq
The building blocks of proteins are called what?,"[""boric acids"", ""amino acids"", ""protein acids"", ""mutation acids""]",1,sciq
A laser beam is aimed at four different objects. Through which of these objects will the laser beam pass and be refracted?,"[""a black cloth"", ""a piece of aluminum"", ""a sheet of paper"", ""a glass prism""]",3,arc_easy
A creature can hide in plain sight from predators because,"[""it burns"", ""it misdirects"", ""it cries"", ""it stinks""]",1,openbookqa
What kind of muscle is responsible for hollow organs contracting?,"[""smooth muscle"", ""tough muscle"", ""rough muscle"", ""micro muscle""]",0,sciq
Which of these is an inherited behavior?,"[""a seal balancing a ball"", ""a dog getting the newspaper"", ""a spider spinning a web"", ""an ape using sign language""]",2,arc_easy
"What type of mammals includes opossums, kangaroos, and koalas?","[""crustaceans"", ""arthropods"", ""marsupials"", ""monotremes""]",2,sciq
"Scientists have monitored the amount of acid rainfall in Frederick County, Maryland, since 1982. Humans in Frederick County are affected by acid rain because acid rain alters","[""wind patterns"", ""air temperatures"", ""the quality of water"", ""the amount of precipitation""]",2,arc_easy
Which blood vessels is oxygen transferred through?,"[""cilia"", ""capillaries"", ""veins"", ""arteries""]",1,sciq
An example of a ferromagnetic metals could be,"[""wood"", ""a coin"", ""plastic"", ""china plates""]",1,openbookqa
Diverting overflow from a reservoir through pipes generates,"[""The Colorado River"", ""hydropower"", ""The Hoover Dam"", ""solar power""]",1,openbookqa
How do plants most commonly break large rocks into smaller pieces?,"[""Plant leaves insulate surrounding rocks from extreme temperatures."", ""Plant roots grow into cracks in rocks."", ""Seeds from plants fall onto rocks and release acidic compounds."", ""Stems of plants surround and squeeze rocks.""]",1,arc_easy
How many centimeters are in a meter?,"[""50"", ""100"", ""1000"", ""200""]",1,sciq
What part of the heart receives the blood is pumped from veins of the systemic circuit?,"[""left atrium"", ""left ventricle"", ""right ventricle"", ""right atrium""]",3,sciq
What type of charge do electrons have?,"[""positive"", ""negative"", ""bipolar"", ""neutral""]",1,sciq
Which has the longest wavelength?,"[""red light"", ""green light"", ""violet light"", ""yellow light""]",0,arc_easy
"For photosynthesis to begin, the inputs required are sunlight, water, and what?","[""phosphorus dioxide"", ""carbon dioxide"", ""sulfur dioxide"", ""methane""]",1,sciq
What is a genetic disorder in which blood fails to clot properly because a normal clotting factor in the blood is lacking?,"[""hemophilia"", ""sickle cell"", ""anemia"", ""hypertension""]",0,sciq
A cup of hot tea next to a glass of iced tea will make which become colder?,"[""cup of noodles"", ""the hot tea"", ""the iced tea"", ""tee in alphabet""]",1,openbookqa
What captures carbon dioxide as it is emitted by a power plant before it enters the atmosphere?,"[""chemical sequestration"", ""oxide sequestration"", ""nitrogen sequestration"", ""carbon sequestration""]",3,sciq
"A city has a temperature of 75 °F, with partly cloudy skies. Weather forecasters are predicting that the air pressure and temperature will drop during the day. Which type of weather is most likely for this area in the late afternoon?","[""rainy."", ""sunny."", ""snowing."", ""hailing.""]",0,arc_easy
A telescope is required for detailed observation of what?,"[""mountains"", ""oceans"", ""clouds"", ""astral bodies""]",3,openbookqa
What effect causes global winds to blow on a diagonal over the earth's surface?,"[""dopler effect"", ""resonant effect"", ""centrifugal effect"", ""coriolis effect""]",3,sciq
"What takes place at some coastlines or along the equator and brings cool, nutrient-rich water to the surface?","[""high tide"", ""upwelling"", ""flooding"", ""red tide""]",1,sciq
Glucocorticoids and mineralocorticoids are the two main types of what in humans?,"[""carotenoids"", ""corticosteroids"", ""hormones"", ""metabolites""]",1,sciq
Limestone is formed by water evaporating from a solution of water and mineral and a hard sedimentary rock used as building material and for making,"[""lipstick"", ""cement"", ""lemon-lime soda"", ""mineral water""]",1,openbookqa
When liquid that was sucked out of the ground by flora moves is moved to the air this is called,"[""perspiration"", ""hydration"", ""condensation"", ""transpiration""]",3,openbookqa
What structures receive blood from the atria and pump it out of the heart?,"[""ventricles"", ""muscles"", ""Vascular Fibers"", ""valves""]",0,sciq
What are the parts that make up an atom?,"[""electrons, neutrons, and protons"", ""electrons, protons, and gamma rays"", ""neutrons, photons, and beta particles"", ""neutrons, protons, and alpha particles""]",0,arc_easy
"Which type of rock is formed from limestone that has been compacted, heated, and recrystallized?","[""siltstone"", ""sandstone"", ""marble"", ""shale""]",2,arc_easy
What is the most common type of capillary?,"[""channels"", ""large"", ""continuous"", ""ending""]",2,sciq
All female platypus',"[""lay eggs"", ""give live birth"", ""reframe from reproduction"", ""give live aid""]",1,openbookqa
What cannot exist between energy levels?,"[""crystals"", ""protons"", ""cells"", ""electrons""]",3,sciq
Which part of the electromagnetic spectrum can humans sense without using equipment or technology?,"[""radio waves"", ""visible light"", ""microwaves"", ""X-rays""]",1,arc_easy
An example of migration would be,"[""robins flying from Minneapolis to Miami"", ""geese flying to a park to bother the people there"", ""bison that belong to a farmer being moved to a different pasture"", ""mice running from a fox""]",0,openbookqa
The total number of protons and neutorns in an atom is called what?,"[""atom number"", ""volume number"", ""mass number"", ""formation number""]",2,sciq
Exons are cut out before what leaves the nucleus?,"[""gene"", ""dna"", ""mrna"", ""rna""]",2,sciq
Sand dunes migrate when sand is blown up a slope and this force pulls it down the other side?,"[""earthquakes"", ""gravity"", ""spin"", ""air pressure""]",1,sciq
"Diaphragm, lungs, and trachea take air deep into the body and provide oxygen gas to what?","[""molecules"", ""heart"", ""bloodstream"", ""brain""]",2,sciq
What does the a1c test measure over the past two to three months?,"[""RBC levels"", ""cholesterol levels"", ""blood-glucose levels"", ""albumin levels""]",2,sciq
"When a person is infected with the influenza virus, the immune system defends the body through a cell-mediated immune response. Which immune cell is responsible for protecting the body from the influenza virus infection?","[""phagocytes"", ""B lymphocytes"", ""helper T lymphocytes"", ""cytotoxic T lymphocytes""]",3,arc_easy
What increases the chances of someone inheriting a mitochondrial disease?,"[""presence of defect transgenic and defect mtdna"", ""presence of defect transgenic and undefected mtdna"", ""presence of defect mtdna and undefected mtdna"", ""presence of defect ornithopods and undefected mtdna""]",2,sciq
"if these animals were planetary bodies, which of them would have the most gravitational pull?","[""a bull on the couch"", ""a mouse in the wall"", ""a duck in the pond"", ""a dog in the field""]",0,openbookqa
What is a condition where plants are grown in mineral solutions without soil called?,"[""hydrozone"", ""hydroponics"", ""biosphere"", ""climate zone""]",1,sciq
Seasonal changes happens,"[""when some flowers cease to bloom in the cold months"", ""when ducks swim more in lakes"", ""when fish arise from water and sun themselves"", ""when all flowers bloom in the cold months""]",0,openbookqa
"What is the combination of tissues that provides a tough, woody external covering on the stems of trees called?","[""cuticle"", ""scale"", ""epidermis"", ""bark""]",3,sciq
What does an array of radio telescopes collect?,"[""radio waves"", ""light waves"", ""microwaves"", ""thermal waves""]",0,sciq
"What states that chemical reactions occur when atoms, ions, or molecules collide?","[""collision theory"", ""reaction theory"", ""elemental theory"", ""disturbance theory""]",0,sciq
Which disease afflicts children who don't get enough calcium during their bone formation stage?,"[""sids"", ""rabies"", ""rickets"", ""cancer""]",2,sciq
"The end result of diffusion is an equal concentration, or equilibrium , of molecules on both sides of what?","[""the cell"", ""the membrane"", ""the organelle"", ""the organism""]",1,sciq
"If a person wants to move heat quickly, they could use the sun's warmth. The best thing for absorbing it would be","[""a brass sheet"", ""a wool cap"", ""a rubber duck"", ""a plastic ball""]",0,openbookqa
What substance causes oxidation by accepting electrons?,"[""solvents"", ""oxidizing agent"", ""thermal agent"", ""enzymes""]",1,sciq
What is least likely to absorb light?,"[""windows"", ""space"", ""glass"", ""foil""]",3,openbookqa
Clouds are formed from what?,"[""ice crystals"", ""snow flakes"", ""water droplets"", ""dust particles""]",2,sciq
"When looking for good soil for plants, typically what is optimal?","[""malleable and nutritious"", ""dry and sandy"", ""grainy and bitter"", ""compact and hard""]",0,openbookqa
Cells must also be able to separate their relatively stable interior from what?,"[""their habitat"", ""predators"", ""competition and chaos"", ""the external environment""]",3,sciq
Why do two surfaces get warm when they are rubbed together?,"[""The surfaces absorb energy from the air."", ""Friction changes energy of motion to heat energy."", ""Moving objects produce heat energy."", ""Energy is transferred between the two surfaces.""]",1,arc_easy
What do optical fibres look like?,"[""square boxes"", ""big flashlights"", ""flat paper"", ""thin glass tubes""]",3,sciq
Which of the following describes how a microwave oven heats food?,"[""The oven's interior reflects heat onto the food."", ""The oven's interior, like a lens, focuses heat onto the food."", ""Water molecules in the food reflect energy from microwave radiation."", ""Water molecules in the food absorb the energy of microwave radiation.""]",3,arc_easy
What is the name of a group of hereditary diseases that affect the body's ability to control blood clotting?,"[""arithmya"", ""hemophilia"", ""hypertension"", ""anemia""]",1,sciq
What occurs when light bends as it passes from one type of matter to another?,"[""vibration"", ""reflection"", ""resonance"", ""refraction""]",3,sciq
What covers most of the Earth's surface?,"[""Water"", ""Bare rock"", ""Farm land"", ""Cities and towns""]",0,arc_easy
Hummingbirds gather nectar using their,"[""bills"", ""wings"", ""hands"", ""feet""]",0,openbookqa
A learned behavior,"[""newborn turtles crawling towards the sea"", ""seals clapping to the delight of an audience"", ""ducks sitting on their eggs (D) baby birds chewing worms"", ""mother dogs nursing their pups""]",1,openbookqa
"To use energy from the Sun to power household appliances, the solar energy must be converted to","[""heat energy."", ""light energy."", ""nuclear energy."", ""electrical energy.""]",3,arc_easy
How do organophostbate pesticides work?,"[""inhibiting reticulum"", ""inhibiting cryptosporidium"", ""inhibiting testosterone"", ""inhibiting acetylcholinesterase""]",3,sciq
Which metal is not solid at room temperature?,"[""silver"", ""mercury"", ""titanium"", ""aluminum""]",1,sciq
Alkenes have double bonds while alkynes have what?,"[""single bonds"", ""triple bonds"", ""quadruple bonds"", ""equal bonds""]",1,sciq
The earth's gravitational force causes the moon to do what?,"[""overlap the earth"", ""change size"", ""lose orbit"", ""orbit the earth""]",3,sciq
Intraspecific competition occurs between members of the same what?,"[""genus"", ""phylum"", ""species"", ""specimens""]",2,sciq
Where does oxygen enter the blood?,"[""in the heart"", ""in the veins"", ""in the liver"", ""in the lungs""]",3,sciq
A metal ball has a constant velocity of zero. Which other quantity must also be zero?,"[""weight of the ball"", ""energy of the ball"", ""acceleration of the ball"", ""inertia of the ball""]",2,arc_easy
if something is outside during the day then that something will receive what?,"[""astral beams"", ""steam"", ""gratitude"", ""night light""]",0,openbookqa
You are unable to naturally make yourself taller because height is determined by,"[""parents"", ""Cookies"", ""Space"", ""Eggshells""]",0,openbookqa
Most fungi can reproduce in which 2 ways?,"[""binary fission and fusion"", ""sexually and autonomously"", ""sexually and binary fusion"", ""asexually and sexually""]",3,sciq
All of the processes listed below cause changes in Earth's surface. Which of the following is the slowest to change Earth's surface?,"[""earthquake activity"", ""landslide"", ""volcanic eruption"", ""weathering""]",3,arc_easy
"What are the flattened, disk-shaped cells in blood that carry oxygen?","[""plasma"", ""platlets"", ""white blood cells"", ""red blood cells""]",3,sciq
What do you call the metal elements listed below the periodic table?,"[""rare metals"", ""shift metals"", ""process metals"", ""transition metals""]",3,sciq
An ecosystem consists of all the living things and what?,"[""nonliving environment"", ""phosphorescent environment"", ""local environment"", ""living environment""]",0,sciq
A high metabolic rate and hair are ways mammals generate and conserve what?,"[""resources"", ""heat"", ""water"", ""energy""]",1,sciq
"Marshes, swamps, and bogs are types of what?","[""grasslands"", ""rivers"", ""ponds"", ""wetlands""]",3,sciq
A monkey births live what?,"[""hares"", ""younglings"", ""rats"", ""dogs""]",1,openbookqa
"A factory is producing various items. If the factory wants to produce something that will itself produce little pollution, it could create","[""trucks"", ""windmills"", ""ships"", ""cars""]",1,openbookqa
A bicycle may be used for,"[""rain"", ""cats"", ""coffee grinding"", ""elephants""]",2,openbookqa
A thing which moves very little over quite a lot of time is a,"[""pack of wolves"", ""racing horses"", ""falling rocks"", ""giant ice brick""]",3,openbookqa
A constant and plentiful supply of oxygen is required in order to maintain a high rate of what?,"[""digestion"", ""cell division"", ""metabolism"", ""magnesium""]",2,sciq
"The head of the sperm contains what, which holds the chromosomes?","[""nerve cells"", ""nucleus"", ""eggs"", ""fiber""]",1,sciq
Alveoli can be found in which organ in the human body?,"[""Stomach"", ""Liver"", ""lungs"", ""Heart""]",2,sciq
Decaying plants and animals are important to an ecosystem because they,"[""cause disease in living organisms."", ""reduce soil erosion."", ""recycle oxygen to the air."", ""return nutrients to the soil.""]",3,arc_easy
Convection generally involves the transfer of what type of energy?,"[""sunlight"", ""radioactive"", ""magnetic"", ""thermal""]",3,sciq
The goal of this is the understand how and why things happen?,"[""science"", ""inquiry"", ""theory"", ""experience""]",0,sciq
Which of these actions causes wind?,"[""rotation of Earth on its axis"", ""movement of air from water to land"", ""uneven heating of Earth's surface"", ""air passing Earth as it revolves around the Sun""]",2,arc_easy
"What is the mass that is ""lost"" in fission or fusion actually converted to?","[""momentum"", ""energy"", ""hydrogen"", ""pressure""]",1,sciq
The basic voltaic cell variations are the dry cell and the what?,"[""lead flood battery"", ""lead storage battery"", ""lead electricity battery"", ""positive terminal""]",1,sciq
an animal is controlled by a,"[""collection of neurons"", ""friend"", ""weather condition"", ""higher power""]",0,openbookqa
What mammalian feature serves functions such as filtration and keeping the body warm?,"[""hair"", ""sensory organs"", ""sweat"", ""shivering""]",0,sciq
What helps an insectivorous plant attract and digest insects?,"[""specialized flowers"", ""specialized leaves"", ""spines"", ""special seeds""]",1,sciq
"High explosives create shock waves that exceed the speed of sound, a phenomenon that goes by what term?","[""light speed"", ""ion speed"", ""turbulence"", ""supersonic""]",3,sciq
"The term ""environment of deposition"" is useful for understanding the characteristics of what type of rock?","[""sedimentary"", ""meteor"", ""limestone"", ""glacial""]",0,sciq
Earthquake waves that travel trhough underground rocks in all directions are known as?,"[""tertiary waves"", ""primary waves"", ""secondary waves"", ""typical waves""]",2,sciq
"If the atomic mass number of an atom is 35, which statement is most accurate?","[""The atom is not an isotope."", ""The atomic number is less than 17."", ""The atom has an odd number of neutrons."", ""The number of protons does not equal the number of neutrons.""]",3,arc_easy
What do you call the fragments of cells involved in the clotting process that are suspended in blood plasma?,"[""hematocrit"", ""ironites"", ""platelets"", ""hemoglobin""]",2,sciq
What are the chemical messengers used to communicate between cells?,"[""membranes"", ""peptides"", ""hormones"", ""neurons""]",2,sciq
What is the highest temperature that water can reach in a pot on a stove?,"[""50\u00b0C"", ""90\u00b0C"", ""100\u00b0C"", ""212\u00b0C""]",2,arc_easy
"Over many generations, the resulting genetic diversity provides valuable raw material for what?","[""coral selection"", ""characteristic selection"", ""natural selection"", ""intelligent selection""]",2,sciq
What does a cell need to transform into a cancerous cell?,"[""microbes"", ""mutations"", ""adaptations"", ""parasites""]",1,sciq
"Gas, liquid, and solid describe what property of matter?","[""Chemical"", ""Physical"", ""states"", ""Quatitative""]",2,sciq
Mutualism is a symbiotic relationship in which both species do what?,"[""die"", ""suffer"", ""reproduce"", ""benefit""]",3,sciq
To observe materials up close and in greater detail we use,"[""gripping tools."", ""optical tools."", ""cutting tools."", ""polishing tools.""]",1,arc_easy
"A child smacks another child, causing hurt, which causes the smacked child to","[""play"", ""eat"", ""rejoice"", ""sob""]",3,openbookqa
"A large number of species on Earth became extinct during a short time period about 65 million years ago. Based on this pattern of extinction, which is the most likely cause?","[""gradual climate change"", ""continued climate stability"", ""sudden global climate change"", ""gradual ecosystem succession""]",2,arc_easy
"We divide up the earth's seas into five what, which are really all interconnected?","[""lakes"", ""oceans"", ""ecosystems"", ""continents""]",1,sciq
"What state of matter is characterized by tiny particles separated by large distances, which do not experience any force of attraction or repulsion with each other?","[""steam"", ""emissions"", ""gas"", ""liquids""]",2,sciq
"Meiosis, like mitosis, is preceded by the duplication of what?","[""chromosomes"", ""chloroforms"", ""neutrons"", ""ribosomes""]",0,sciq
What catalyst substances may also allow reactions to occur by different pathways that have lower activation energy?,"[""carbohydrates"", ""hormones"", ""calories"", ""enzymes""]",3,sciq
Sherry is going to use her computer to draw a three-dimensional box. She wants to be able to specify the exact dimensions and angles and to rotate the box as needed on the screen. Which of the following types of programs would Sherry most likely use for this purpose?,"[""word processing software"", ""math spreadsheet program"", ""Internet-based search engine"", ""computer-aided design program""]",3,arc_easy
A science class investigated the percentage of corn kernels that pop in bags of different brands of popcorn. Fifteen students tested three brands of popcorn each and reported their results to the class. Why did the teacher most likely have so many students report the results?,"[""for more accurate results"", ""for more student participation"", ""to help simplify the procedure"", ""to help explain the hypothesis""]",0,arc_easy
Where does most natural gas come from?,"[""recycled cooking oil"", ""oceans"", ""wells that produce petroleum"", ""alchemy""]",2,sciq
"At the time of birth, bones of the brain case are separated by what wide areas of fibrous connective tissue, which later become sutures?","[""fluctuations"", ""fontanelles"", ""sporozoans"", ""cerebellum""]",1,sciq
What is used for cooling detectors of infrared telescopes?,"[""hand nitrogen"", ""material nitrogen"", ""liquid nitrogen"", ""carbon dioxide""]",2,sciq
If a liquid disappears then what probably happened to it?,"[""gas transformation"", ""solidifying"", ""melting"", ""cooling""]",0,openbookqa
Which is an example of measuring?,"[""a fisherman using a fishing rod"", ""a runner using a pedometer"", ""a cat playing with a mouse"", ""a dog using a stick""]",1,openbookqa
A statement that describes what always happens under certain conditions in nature is also known as what?,"[""theory"", ""hypothesis"", ""scientific law"", ""scientific motion""]",2,sciq
"In mammals, hair or fur help conserve bodily what?","[""food"", ""heat"", ""water"", ""energy""]",1,sciq
A deer inherits some of its features from its parents. Other features come from its environment. Which feature would a deer most likely inherit from its parents?,"[""a long scar"", ""brown eyes"", ""missing teeth"", ""a broken antler""]",1,arc_easy
Each species has a particular way of making a living which is called its what?,"[""habit"", ""system"", ""niche"", ""life-cycle""]",2,sciq
What term is used to describe a compound that does not conduct an electric current in either aqueous solution or in the molten state?,"[""nonelectrolyte"", ""porous"", ""xerophyte"", ""kilocalorie""]",0,sciq
"Instead of insects, crustaceans are the dominant arthropods in what environment?","[""tundra habitat"", ""desert habitat"", ""marine habitat"", ""arid habitat""]",2,sciq
The difference in electric potential energy which allows for an electric charge to move from one position to another is measured by what si unit?,"[""volt"", ""joule"", ""meter"", ""ohm""]",0,sciq
The temperature at which all molecular motion has ceased is called what?,"[""0 degrees kelvin"", ""absolute zero"", ""0 degrees celcius"", ""stopping point""]",1,sciq
What thin whip-like structures help prokaryotes move toward food or away from toxins?,"[""sporangia"", ""cilia"", ""antennae"", ""flagella""]",3,sciq
Which hormones work together to control the level of glucose in the blood?,"[""insulin and estrogen"", ""serotonin and glucagon"", ""testosterone and insulin"", ""insulin and glucagon""]",3,sciq
"Most plants grow continuously, except for what periods?","[""abnormal"", ""mutant"", ""dormant"", ""winter""]",2,sciq
"Students are investigating which type of fruit attracts the most fruit flies. Equally sized pieces of ripe apple, peach, and banana are placed in separate containers. The containers allow fruit flies to enter, but the fruit flies are unable to escape. The containers are placed outside on a picnic table for two days. The most reliable method for collecting data is to count the number of fruit flies","[""on all three types of fruit every two hours"", ""on all three types of fruit after each fruit spoils"", ""on the banana on Day 1, the apple on Day 2, and the peach on Day 3"", ""on the banana after Hour 1, the apple after Hour 2, and the peach after Hour 3""]",0,arc_easy
"In the chest, the trachea divides as it enters the lungs to form the right and left what?","[""alveoli"", ""bronchi"", ""atrium"", ""ventricle""]",1,sciq
There are many different types of living cells on Earth. Which of these characteristics do all living cells have in common?,"[""require water for survival"", ""require silicon for structural support"", ""require oxygen for respiration"", ""require sunlight for photosynthesis""]",0,arc_easy
More sunlight will be absorbed by,"[""a plant with curled leaves"", ""a tree with wide, smooth leaves"", ""a rose with tiny leaves"", ""a berry bush with thin, short leaves""]",1,openbookqa
a carpenter ant requires energy for,"[""studying"", ""yoga"", ""growth"", ""patience""]",2,openbookqa
Cilia and flagella are extensions of what?,"[""plasma membrane"", ""protoplasm"", ""cell wall"", ""cell nucleus""]",0,sciq
